How do you feel is the hostel annual room rent when compared to outside private hostel accommodation in Thanjavur / Trichy?,Do you think the answer to the above is based on comparable hostel accommodation?,How do you feel is the hostel annual room rent when compared to other private universities?,How do you compare your hostel with other private accommodation outside? [Hostel Security],How do you compare your hostel with other private accommodation outside? [Room Comfort],How do you compare your hostel with other private accommodation outside? [Food quality],How do you compare your hostel with other private accommodation outside? [Food variety],How do you compare your hostel with other private accommodation outside? [Cleanliness of room],How do you compare your hostel with other private accommodation outside? [Cleanliness of Toilets],How do you compare your hostel with other private accommodation outside? [Hot water Geyser],How do you compare your hostel with other private accommodation outside? [Cooking utilities],"How do you compare your hostel with other private accommodation outside? [Support facilities like hospital, generator, etc.]",How do you compare your hostel with other private accommodation outside? [Entertainment & Sports],How do you compare your hostel with other private accommodation outside? [Wi-Fi & Power],How do you compare your hostel with other private accommodation outside? [Room Infra],How do you compare your hostel with other private accommodation outside? [Hostel Rules],How do you compare your hostel with other private accommodation outside? [Hostel Rent],How do you compare your hostel with other private accommodation outside? [Mess fee],How do you compare your hostel with other private accommodation outside? [Water availability],How do you compare your hostel with other private accommodation outside? [Room mate],How do you compare your hostel with other private accommodation outside? [Support staff],"If changes need to be made on the above, what is the one change in each or any rule subject to reasonable restriction wherever required and possible"
Same,"No, outside is better",Lower,Better,Same,Inferior,Inferior,Same,Same,Same,Inferior,Better,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Better,Better,Better,"increase amount of permissions per semester, increase in time for girls hostel, every weekend outings must me allowed, improve wifi connection"
Lower,"No, outside is better",Lower,Better,Inferior,Inferior,Inferior,Better,Better,Better,Inferior,Same,Same,Inferior,Better,Better,Better,Better,Better,Same,Better,"4 permissions per semester, 7:30 pm in time, increase mess timings"
Same,"Yes, comparable",Lower,Better,Same,Same,Same,Same,Inferior,Same,Same,Inferior,Inferior,Same,Same,Better,Better,Better,Better,Better,Better,more permissions per semester
Same,"No, outside is better",Same,Better,Same,Same,Same,Same,Inferior,Same,Same,Inferior,Inferior,Inferior,Same,Better,Same,Better,Same,Same,Same,"there should be no restrictions on cross mobility
more permissions can be allowed per semester"
Lower,"No, outside is better",Lower,Better,Inferior,Inferior,Inferior,Inferior,Inferior,Same,Same,Inferior,Inferior,Same,Inferior,Inferior,Better,Same,Better,Same,Better,Be more flexible in timings and restrictions. Make changes considering the constantly changing outside environment and outside competition. 
Lower,"No, outside is better",Lower,Better,Better,Same,Same,Same,Same,Same,Same,Same,Better,Better,Better,Better,Same,Better,Same,Same,Same,no changes required
Same,"Yes, comparable",Same,Better,Same,Better,Better,Inferior,Inferior,Same,Same,Same,Same,Better,Same,Same,Better,Better,Same,Same,Same,visitor restrictions can be reduced
Lower,"No, outside is better",Lower,Same,Inferior,Inferior,Inferior,Same,Same,Inferior,Inferior,Inferior,Inferior,Inferior,Same,Better,Better,Better,Better,Better,Better,Nothing
Lower,"Yes, comparable",Lower,Better,Same,Same,Better,Same,Inferior,Better,Same,Same,Same,Same,Same,Better,Same,Same,Better,Same,Same,Parents should be able to visit without so many restrictions
Lower,"No, outside is better",Same,Better,Same,Better,Inferior,Same,Inferior,Same,Same,Same,Inferior,Inferior,Same,Same,Same,Better,Same,Same,Better,do not limit the permissions.
Lower,"No, hostel is better",Lower,Same,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Better,Better,Better,Inferior,Better,"Wi-Fi is too slow nothing opens with that. Allow Wi-Fi for mobiles also. Increase speed of Wi-Fi 
Increase number of permissions
Allow students to go to hospital if they need
Don't make them beg for permission to hospital also."
Lower,"No, outside is better",Same,Better,Better,Same,Same,Same,Inferior,Same,Same,Same,Same,Same,Inferior,Inferior,Same,Better,Same,Same,Same,no restriction on cross mobility
