How do you feel is the hostel annual room rent when compared to outside private hostel accommodation in Thanjavur / Trichy?,Do you think the answer to the above is based on comparable hostel accommodation?,How do you feel is the hostel annual room rent when compared to other private universities?,How do you compare your hostel with other private accommodation outside? [Hostel Security],How do you compare your hostel with other private accommodation outside? [Room Comfort],How do you compare your hostel with other private accommodation outside? [Food quality],How do you compare your hostel with other private accommodation outside? [Food variety],How do you compare your hostel with other private accommodation outside? [Cleanliness of room],How do you compare your hostel with other private accommodation outside? [Cleanliness of Toilets],How do you compare your hostel with other private accommodation outside? [Hot water Geyser],How do you compare your hostel with other private accommodation outside? [Cooking utilities],"How do you compare your hostel with other private accommodation outside? [Support facilities like hospital, generator, etc.]",How do you compare your hostel with other private accommodation outside? [Entertainment & Sports],How do you compare your hostel with other private accommodation outside? [Wi-Fi & Power],How do you compare your hostel with other private accommodation outside? [Room Infra],How do you compare your hostel with other private accommodation outside? [Hostel Rules],How do you compare your hostel with other private accommodation outside? [Hostel Rent],How do you compare your hostel with other private accommodation outside? [Mess fee],How do you compare your hostel with other private accommodation outside? [Water availability],How do you compare your hostel with other private accommodation outside? [Room mate],How do you compare your hostel with other private accommodation outside? [Support staff],"If changes need to be made on the above, what is the one change in each or any rule subject to reasonable restriction wherever required and possible"
Same,"Yes, comparable",Same,Better,Inferior,Same,Same,Better,Inferior,Same,Same,Same,Same,Better,Inferior,Better,Better,Same,Better,Better,Better,"1.Increase the number of permissions per semester 
2.Change in mess timings by preponing it half an hour for breakfast and dinner "
Lower,"No, hostel is better",Lower,Better,Better,Better,Better,Better,Better,Inferior,Inferior,Same,Better,Same,Same,Better,Better,Better,Better,Better,Better,"No students should undergo the burden of changing rooms every semester, if the student is comfortable with the room and their roommates."
Lower,"Yes, comparable",Same,Better,Inferior,Inferior,Same,Better,Inferior,Better,Same,Better,Same,Better,Inferior,Better,Better,Same,Better,Better,Better,"1.Increase the number of permissions per semester 
2. Mess timings can be preponed by half an hour for breakfast and dinner 
3. Relax the restrictions on parents visit during weekends "
Same,"Yes, comparable",Lower,Better,Same,Better,Better,Same,Same,Same,Same,Same,Same,Same,Inferior,Same,Same,Same,Same,Same,Same,"1. Increase number of permissions per semester 
2. Relax the restrictions on parents visit during weekends "
Lower,"No, outside is better",Lower,Better,Inferior,Inferior,Inferior,Same,Inferior,Better,Same,Inferior,Better,Better,Inferior,Inferior,Better,Same,Better,Inferior,Same,Cross mobility across hostels should be available at all times after working hours 
Same,"Yes, comparable",Same,Better,Better,Better,Better,Better,Better,Better,Better,Better,Same,Same,Same,Better,Same,Same,Better,Better,Better,Increase the number of permissions per semester 
Lower,"No, hostel is better",Lower,Better,Better,Better,Better,Better,Better,Better,Inferior,Inferior,Inferior,Inferior,Better,Inferior,Better,Same,Better,Better,Inferior,Faster wifi
Same,"No, hostel is better",Same,Better,Inferior,Better,Inferior,Same,Same,Same,Inferior,Inferior,Inferior,Inferior,Same,Better,Same,Same,Same,Same,Same,Hostel rooms preference of the student can be considered
Same,"Yes, comparable",Lower,Better,Same,Better,Better,Better,Better,Better,Better,Better,Same,Same,Same,Better,Better,Better,Better,Better,Better,"room changing and for shared room selection of room mates can be given freedom to students, but may have some restrictions"
Lower,"Yes, comparable",Lower,Same,Same,Inferior,Same,Same,Same,Better,Inferior,Inferior,Same,Inferior,Inferior,Inferior,Better,Same,Same,Inferior,Same,More permissions per semester can be given
Lower,"No, hostel is better",Lower,Same,Same,Better,Same,Better,Same,Same,Better,Better,Same,Same,Better,Same,Inferior,Same,Better,Better,Better,limited permission per semester
Lower,"No, hostel is better",Same,Same,Better,Inferior,Inferior,Better,Better,Better,Better,Same,Inferior,Inferior,Same,Inferior,Better,Inferior,Same,Better,Better,"Limited permission per semester           increase permission
IN and OUT time                                        should be 10:pm
Changing rooms every semester            allow private space for luggage
Mess timings                                             late night
WI-FI rule                                                    increase speed"
Lower,"No, hostel is better",Lower,Same,Better,Same,Inferior,Better,Better,Better,Same,Better,Same,Better,Better,Better,Better,Same,Better,Better,Better,"LIMITED PERMISSION PER SEMESTER                    INCREASE PERMISSIONS
IN AND OUT TIME                                                        ALLOW FOR ATLEAST 9:30
CHANGING ROOMS EVERY SEMESTER                    GIVE LUGGAGE SPACE
WIFI RULE                                                                      INCREASE SPEED"
Same,"No, hostel is better",Lower,Better,Better,Inferior,Inferior,Better,Better,Better,Same,Same,Inferior,Same,Better,Better,Better,Same,Better,Better,Better,"IN AND OUT TIME                    INCREASE BY 9:30
WI-FI SPEED                              INCREASE SPEED
"
Higher,"No, hostel is better",Lower,Better,Better,Better,Inferior,Better,Better,Better,Better,Better,Better,Better,Better,Inferior,Same,Same,Better,Same,Same,More permissions
Lower,"Yes, comparable",Lower,Better,Better,Better,Same,Better,Better,Same,Inferior,Same,Same,Inferior,Same,Same,Same,Same,Better,Better,Same,More permissions
Higher,"Yes, comparable",Same,Same,Same,Inferior,Inferior,Inferior,Same,Same,Inferior,Same,Inferior,Same,Same,Better,Inferior,Inferior,Better,Better,Better,More Permissions and Visitor restriction should be changed
Lower,"Yes, comparable",Lower,Better,Same,Same,Same,Inferior,Same,Inferior,Same,Better,Same,Better,Same,Better,Better,Better,Better,Better,Same,Flexible Mess Timings
Lower,"Yes, comparable",Lower,Better,Inferior,Inferior,Inferior,Better,Same,Same,Same,Same,Same,Inferior,Inferior,Same,Better,Same,Better,Better,Same,Flexible (visitor restrictions)
Same,"Yes, comparable",Lower,Better,Same,Same,Same,Same,Inferior,Same,Inferior,Inferior,Inferior,Better,Same,Better,Same,Same,Better,Inferior,Same,More permissions per semester 
Lower,"No, hostel is better",Lower,Better,Better,Inferior,Inferior,Same,Inferior,Better,Same,Better,Better,Better,Better,Better,Better,Same,Better,Better,Better,"Better food 
Increase in number of permission"
Lower,"Yes, comparable",Lower,Inferior,Inferior,Inferior,Same,Inferior,Inferior,Inferior,Better,Better,Better,Inferior,Inferior,Inferior,Inferior,Same,Inferior,Better,Inferior,More permission to visit home
Lower,"Yes, comparable",Lower,Better,Same,Better,Same,Better,Same,Better,Inferior,Inferior,Same,Same,Better,Same,Same,Inferior,Same,Same,Inferior,Intimation to parents regarding student's outings
Lower,"Yes, comparable",Lower,Better,Better,Inferior,Inferior,Better,Inferior,Same,Same,Same,Inferior,Inferior,Better,Better,Same,Inferior,Better,Same,Inferior,food quality need to improve
Same,"No, hostel is better",Same,Better,Same,Better,Inferior,Better,Better,Inferior,Same,Same,Inferior,Better,Same,Same,Better,Inferior,Better,Inferior,Same,Food Taste and variety 
Lower,"No, hostel is better",Lower,Same,Better,Inferior,Inferior,Same,Inferior,Better,Same,Better,Better,Better,Better,Same,Better,Same,Better,Better,Better,Increase number of permission 
Lower,"No, hostel is better",Lower,Better,Better,Inferior,Inferior,Same,Inferior,Better,Same,Better,Better,Better,Better,Same,Better,Better,Better,Better,Better,Food
Lower,"Yes, comparable",Same,Same,Better,Inferior,Inferior,Better,Same,Better,Inferior,Inferior,Same,Inferior,Same,Inferior,Inferior,Inferior,Better,Same,Inferior,"Increase no of Permissons
allow parents to enter the hostel"
Lower,"Yes, comparable",Lower,Better,Same,Better,Better,Same,Same,Same,Better,Better,Better,Same,Same,Better,Better,Better,Better,Better,Better,Nill
Lower,"Yes, comparable",Lower,Better,Same,Inferior,Inferior,Same,Same,Better,Inferior,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Increase permissions
Lower,"Yes, comparable",Lower,Same,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Same,Same,Better,Better,Inferior,Inferior,Better,Same,Better,Same,Same,increase permissions
Lower,"No, hostel is better",Lower,Better,Same,Same,Inferior,Better,Better,Same,Same,Inferior,Same,Inferior,Same,Same,Better,Better,Better,Better,Better,"5 permission, allow siblings"
Lower,"Yes, comparable",Same,Better,Better,Same,Better,Same,Better,Better,Same,Same,Better,Same,Better,Inferior,Same,Same,Same,Better,Better,"all parents all time, improve wifi"
Lower,"Yes, comparable",Lower,Better,Same,Same,Same,Better,Better,Same,Better,Inferior,Inferior,Same,Better,Inferior,Better,Better,Better,Same,Inferior,increase mess timing
Lower,"No, hostel is better",Lower,Better,Better,Same,Same,Better,Same,Better,Same,Inferior,Same,Same,Better,Inferior,Better,Better,Better,Same,Inferior,"food variety, more premission"
Same,"Yes, comparable",Same,Better,Same,Same,Same,Better,Better,Better,Inferior,Inferior,Inferior,Same,Same,Inferior,Better,Same,Better,Same,Inferior,improve wifi
Same,"No, hostel is better",Same,Better,Same,Better,Better,Better,Better,Inferior,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Better,Roll call timings can be extended till 8 pm
Lower,"Yes, comparable",Lower,Same,Better,Inferior,Inferior,Better,Better,Inferior,Inferior,Same,Same,Same,Same,Same,Better,Better,Better,Better,Better,Food quality can be better improvement 
Lower,"Yes, comparable",Lower,Better,Same,Better,Better,Same,Same,Better,Inferior,Better,Same,Better,Inferior,Better,Better,Better,Better,Better,Better,it is good
Lower,"No, outside is better",Same,Better,Inferior,Same,Better,Better,Same,Same,Same,Same,Inferior,Inferior,Inferior,Same,Same,Better,Same,Better,Better,none
Lower,"Yes, comparable",Lower,Better,Same,Same,Same,Better,Better,Same,Better,Better,Inferior,Same,Same,Inferior,Inferior,Inferior,Same,Inferior,Same,"More permissions to go home, in and out time should be increased, parents visit timings to become more flexible, go out on all weekends and holidays"
Same,"Yes, comparable",Lower,Better,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Better,Better,Better,Same,Same,"Easier timings, more hygienic food, cross mobility should be allowed, wifi major upgrade urgently required. "
Lower,"No, hostel is better",Lower,Better,Better,Better,Better,Same,Same,Same,Inferior,Better,Inferior,Same,Same,Better,Better,Better,Better,Better,Better,Nil
Lower,"Yes, comparable",Lower,Better,Same,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Same,Same,Same,Same,Same,Inferior,There shouldn't be much restriction for parent's visit
Lower,"No, outside is better",Lower,Better,Inferior,Same,Inferior,Inferior,Inferior,Same,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Same,Same,Same,Same,Inferior,"1. It is not very nice on how students are restricted on how many times they are allowed to go home per semester given which such permissions are solely approved by the parents, so why restrict it to only twice or thrice a semester even when parents are okay with them coming home, even during an emergency they have to highly depend and go through so many process to go home especially it’s very frustrating during times when they have to attend funerals or visit hospitals. And getting these permissions approved is time consuming as to how they have to submit letters and get it signed like 3 days prior, due to this tedious process they can’t even make last minute plans though they have enough permissions to go home. 

2. Girls are not allowed to step outside the campus no matter what, so what’s the harm in roaming in campus atleast till 7 or 7:30, to use library and have dinner in KC. 

3. Most of the times it has been a hassle to even meet the parents, again the procedure the signatures the letters to be given to meet their own parents.

4. Girls are not allowed to step outside the campus, they don’t have Swiggy or Zomato food services to eat what they prefer whenever they want, or to buy any essentials , they’ll always have to depend on parents or dayscholars to get what we want, and it’s very sad how they are allowed only once a month to go out and enjoy the outside world and eat and buy stuffs they like, given that they have sooo many restrictions within the college like the curfew timing and inability to step outside the campus, it’ll be really great if they are atleast allowed to go outside the campus on weekends and return within the curfew time, why should it be only once in a month, they feel that they can be allowed to enjoy weekends. Sometimes the parents might even be here in local, they might want to go meet them, again they have to depend on this single Sunday permission or they have to burden their parents to come take them out from the hostel after all the procedures. Girls can be allowed to go out during weekends and holidays and return within the curfew time, they would love to go out for shopping have good food and visit their parents and relatives as well, these things shouldn’t be this hard to get access to. "
Same,"Yes, Comparable",Same,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Same,Visitor timings
Same,"Yes, Comparable",Same,Better,Same,Better,Better,Inferior,Inferior,Better,Same,Same,Better,Same,Inferior,Better,Same,Same,Better,Better,Same,Nil
Same,"Yes, Comparable",Same,Better,Same,Same,Same,Same,Same,Better,Same,Same,Same,Better,Same,Better,Better,Better,Better,Better,Better,Nil
Lower,"No, Outside is better",Lower,Better,Same,Same,Same,Same,Inferior,Inferior,Inferior,Same,Same,Same,Inferior,Same,Same,Same,Same,Same,Same,Improvement in mess food
Same,"Yes, Comparable",Same,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Parents vistinga and outing should be increased
Lower,"No, hostel is better",Lower,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Nothing changes 
Lower,"No, hostel is better",Lower,Better,Better,Same,Same,Same,Same,Same,Inferior,Same,Inferior,Better,Same,Inferior,Same,Inferior,Same,Better,Same,No changes required
Lower,"No, hostel is better",Lower,Better,Better,Better,Better,Better,Better,Better,Better,Better,Inferior,Better,Better,Better,Better,Better,Better,Better,Better,Limited permission per semester should given more
Lower,"No, hostel is better",Lower,Better,Better,Better,Better,Better,Better,Better,Better,Same,Inferior,Same,Better,Same,Better,Better,Better,Better,Better,Extending in timings for girls
Lower,"Yes,comparable",Lower,Better,Better,Same,Same,Better,Better,Same,Same,Better,Inferior,Same,Better,Better,Better,Better,Same,Same,Same,If possible increase the number of permissions for every semester 
Same,"Yes,comparable",Same,Better,Better,Same,Better,Better,Inferior,Same,Better,Better,Better,Same,Better,Better,Better,Same,Better,Better,Better,"Semester  hostel vacation time student taking outside room very bad thought,that manage hostel manager "
Lower,"Yes,comparable",Lower,Better,Better,Better,Better,Better,Better,Better,Better,Same,Inferior,Same,Better,Inferior,Better,Better,Better,Better,Better,Wi-FI access
Higher,"No, outside is better",Higher,Better,Same,Inferior,Inferior,Same,Same,Inferior,Same,Same,Inferior,Better,Inferior,Inferior,Inferior,Same,Better,Better,Same,"Extended permission, no change in hostel for whole 4 years, wifi acess to phone so we no need to recharge"
Same,"Yes,comparable",Lower,Better,Inferior,Better,Inferior,Better,Same,Better,Inferior,Same,Inferior,Same,Same,Inferior,Better,Better,Better,Same,Same,"Increase outings,room changing can be avoided because shifting of luggage becoming hectic"
Lower,"No, hostel is better",Lower,Same,Inferior,Better,Same,Better,Inferior,Inferior,Same,Same,Inferior,Better,Inferior,Inferior,Better,Better,Better,Same,Same,"Emergency and medical leaves should not included in outing permission, cross mobility should be allowed, room shifting once in a 2 years, include nonveg in mess menu"
Same,"Yes,comparable",Lower,Same,Inferior,Same,Inferior,Better,Same,Better,Same,Better,Inferior,Inferior,Inferior,Same,Better,Better,Same,Same,Better,"Girls outings should be increased, no limit for boys outing per semester"
Lower,"Yes,comparable",Lower,Better,Better,Same,Same,Better,Better,Better,Same,Same,Inferior,Inferior,Better,Better,Better,Same,Better,Same,Better,"Cross mobility across hostels, Wi-Fi rule"
Lower,"Yes,comparable",Lower,Better,Better,Inferior,Inferior,Better,Better,Better,Same,Better,Inferior,Inferior,Same,Same,Better,Better,Better,Better,Better,Wifi rule
Lower,"Yes,comparable",Lower,Same,Same,Inferior,Same,Same,Same,Better,Same,Same,Better,Better,Same,Better,Better,Better,Same,Same,Same,Should change the limited permissions per semester 
Lower,"Yes,comparable",Lower,Better,Better,Inferior,Inferior,Same,Same,Better,Inferior,Same,Better,Inferior,Better,Better,Better,Same,Better,Better,Better,OUTING FOR GIRLS SHOULD BE EXTENDED AND THEY SHOULD BE GIVEN MORE FREEDOM
Lower,"Yes,comparable",Lower,Better,Same,Inferior,Same,Better,Better,Same,Inferior,Better,Inferior,Better,Same,Better,Better,Same,Better,Better,Better,Nothing is required
Lower,"Yes,comparable",Lower,Inferior,Better,Inferior,Inferior,Better,Inferior,Better,Same,Better,Inferior,Inferior,Same,Inferior,Better,Inferior,Better,Inferior,Inferior,Changing rooms every semester
Lower,"No, hostel is better",Lower,Better,Better,Better,Same,Better,Inferior,Better,Better,Better,Better,Better,Inferior,Inferior,Better,Better,Better,Better,Better,Permissions to be extended
Lower,"No, hostel is better",Lower,Same,Same,Better,Better,Same,Better,Better,Better,Better,Better,Better,Better,Better,Inferior,Same,Better,Better,Better,Remove the limited permissions per semester rule or atleast increase the no.of permissions
Lower,"Yes,comparable",Lower,Inferior,Same,Inferior,Inferior,Same,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Better,Inferior,Inferior,Inferior,Increasing IN and OUT time for girls histels 
Lower,"Yes,comparable",Lower,Better,Better,Inferior,Inferior,Better,Better,Better,Same,Same,Same,Same,Same,Same,Better,Same,Better,Same,Same,Regulating visits of parents during weekend 
Same,"Yes, comparable",Same,Better,Better,Better,Better,Same,Better,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,No change
Higher,"Yes, comparable",Higher,Inferior,Same,Same,Same,Inferior,Inferior,Better,Same,Same,Inferior,Inferior,Inferior,Same,Same,Inferior,Same,Same,Same,Only parents can be allowed to see their ward
Lower,"No, hostel is better",Lower,Better,Better,Same,Inferior,Better,Inferior,Same,Same,Same,Same,Inferior,Same,Better,Better,Inferior,Same,Inferior,Inferior,Restrictions on permission 
Same,"No, outside is better",Same,Better,Better,Inferior,Inferior,Better,Same,Same,Inferior,Better,Better,Same,Better,Inferior,Same,Same,Same,Same,Better,Food quality 
Higher,"Yes, comparable",Higher,Better,Better,Inferior,Inferior,Better,Better,Better,Same,Same,Inferior,Same,Better,Inferior,Better,Inferior,Better,Better,Inferior,Restriction on permission 
Lower,"No, outside is better",Same,Same,Inferior,Inferior,Inferior,Same,Inferior,Same,Inferior,Inferior,Inferior,Same,Inferior,Same,Same,Same,Inferior,Same,Better,Can allow 5 permision per sem
Lower,"Yes, comparable",Lower,Same,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Better,Same,Inferior,Same,Inferior,Increase in/out time as 6 am to 11 pm
Lower,"Yes, comparable",Same,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,"In ladies hostel,mother and ladies relatives may be allowed inside the hostel rooms during their visit to the hostel.Similarly in boys hostel father and gents relatives may be allowed to visit the hostel rooms."
Lower,"No, hostel is better",Lower,Better,Better,Better,Same,Better,Better,Better,Inferior,Same,Inferior,Inferior,Same,Better,Better,Better,Better,Better,Same,Allow them atleast once a month for weekend weekday with parents
Lower,"Yes, comparable",Lower,Better,Same,Better,Better,Better,Better,Better,Inferior,Same,Inferior,Inferior,Same,Same,Better,Better,Better,Better,Better,During parent visit out time can be given till 8.00pm.Allow outing for girls Atleast two weeks per month can be given.
Same,"Yes,comparable",Lower,Better,Better,Inferior,Inferior,Better,Better,Better,Better,Better,Better,Better,Better,Inferior,Inferior,Inferior,Better,Better,Better,In and out time 
Same,"Yes,comparable",Lower,Better,Better,Inferior,Inferior,Same,Better,Better,Inferior,Better,Better,Better,Same,Same,Same,Same,Better,Inferior,Better,Students should be provided a particular room for all the four years and proper luggage storage. OR room should be alloted before the End sem break so they can change rooms before only
Same,"Yes,comparable",Lower,Better,Better,Same,Same,Same,Better,Better,Inferior,Same,Same,Same,Better,Inferior,Better,Inferior,Better,Inferior,Same,"wifi facility is not good, should be improved."
Same,"No, outside is better",Lower,Better,Better,Inferior,Inferior,Same,Same,Same,Same,Same,Inferior,Same,Same,Same,Same,Inferior,Same,Same,Same,Increase out permissions
Same,"Yes,comparable",Lower,Better,Same,Inferior,Inferior,Same,Better,Inferior,Inferior,Inferior,Inferior,Inferior,Same,Inferior,Same,Inferior,Better,Same,Same,Changing room should not be a headache for students. Students should be allowed to select there room before End-Semester break. So that the can transfer there luggage  after End-Sem.
Lower,"No, hostel is better",Lower,better,same,better,better,same,same,Inferior,same,better,better,same,same,Inferior,better,same,better,better,better,
Lower,"No, outside is better",Lower,better,Inferior,same,same,same,same,same,Inferior,better,same,same,Inferior,Inferior,better,better,better,better,better,
Lower,"No, hostel is better",Lower,better,same,same,better,better,better,better,better,better,better,better,same,better,better,same,better,better,better,Permission permission semester may increase by one more
Lower,"Yes, comparable",Lower,better,better,same,Inferior,better,better,Inferior,same,better,better,better,same,same,better,Inferior,better,better,better,in and out timings 
Lower,"No, hostel is better",Lower,better,better,same,Inferior,same,better,same,same,better,Inferior,Inferior,better,better,better,same,better,better,same,Permission for every semester must increase 
Lower,"No, hostel is better",Lower,Better,Better,Better,Inferior,Better,Same,Same,Same,Same,Inferior,Same,Same,Better,Better,Better,Better,Better,Better,can move at any time hostel mobility
Lower,"No, hostel is better",Lower,Better,Inferior,Inferior,Inferior,Same,Inferior,Inferior,Same,Same,Inferior,Same,Inferior,Better,Same,Inferior,Better,Inferior,Same,they should be allowed at any time
Lower,"No, hostel is better",Lower,Better,Inferior,Same,Inferior,Same,Same,Inferior,Better,Same,Inferior,Better,Inferior,Better,Same,Same,Better,Better,Better,shouldn't restrict time
Same,"No, hostel is better",Lower,Better,Same,Inferior,Inferior,Better,Better,Inferior,Same,Inferior,Same,Inferior,Inferior,Better,Same,Better,Same,Same,Inferior,should provide place for luggage
Lower,"Yes, comparable",Lower,Better,Same,Same,Same,Same,Better,Same,Same,Better,Inferior,Better,Same,Same,Better,Same,Better,Better,Better,4 for Semister
Lower,"Yes, comparable",Lower,Inferior,Better,Better,Same,Better,Same,Better,Same,Inferior,Same,Better,Same,Inferior,Better,Better,Better,Better,Same,Evng in time can be changed 
Lower,"No, hostel is better",Lower,Better,Better,Better,Better,Better,Better,Same,Same,Better,Same,Better,Better,Better,Better,Same,Better,Better,Better,Permission to go home can be increased
Same,"Yes, comparable",Lower,better,better,better,same,inferior,better,inferior,same,better,better,inferior,same ,better,better,better,better,better,better,Allotting  same room during entire course of study in the university. Moving thing every year to an fro is expensive for parents 
Same,"No, hostel is better",Lower,better,inferior ,better,inferior,better,better,inferior,same,better,better,inferior,same,inferior,better,inferior,better,better,better,Hostel facilities can be improved 
Lower,"No, hostel is better",Lower,same,inferior ,inferior,same,better,inferior,better,inferior,better,inferior ,same,inferior,inferior,better,better,better,better,inferior,limited permission 
Lower,"No, hostel is better",Lower,inferior,better,better,same,inferior,inferior,same ,better,better,better,better,inferior,same,inferior,inferior ,inferior,inferior,better,Permissions on request from parents can be allowed 
Lower,"No, outside is better",Lower,better,inferior ,inferior,inferior,better,same,better,same ,inferior,inferior,inferior,better,inferior,better,inferior,better,better,better,Limited permission per semester 
Same,"Yes, comparable",Same,better,better,inferior,better,inferior ,better,same,same ,better,better,better,better,inferior ,inferior,inferior,better,better,better,Limited permissions per semester can be increased. 
Lower,"Yes, comparable",Lower,inferior,same,better,same,better,same,inferior,inferior,inferior,better,same,better,inferior,better,inferior,better,inferior,better,Authorisation letter duly signed by parents to be made eligible for taking the student out for any emergency/normal purposes.
Lower,"Yes, comparable",Lower,better,same,inferior,better,better,better,better,better,better,better,inferior,better,same,inferior,better,inferior,better,better,Give more permissions to visit home. Like weekends 
Lower,"No, outside is better",Lower,inferior ,inferior ,better,inferior,inferior,inferior,better,inferior,inferior,inferior,inferior,inferior,same,better,same ,better,better,inferior,Limited permissions per semester  can be considered atleast one permission per month..mess food also have to be considered so that students can enjoy their food if it is tasty (missing element)
Lower,"Yes, comparable",Lower,better,better,same,better,better,better,same,inferior,better,better,same,inferior,inferior,inferior,better,inferior,better,better,Week end outing is to be given every month as in some months it's cancelled for some reason. Room change for every semester can be given as choice 
Lower,"Yes, comparable",Lower,inferior ,inferior,better,inferior,better,same,same,same,inferior,inferior,inferior,inferior,inferior,better,better,better,inferior,better,more self outing should be given for girls
Lower,"Yes, comparable",Lower,better,better,better,same,better,inferior,low,inferior,better,better,better,better,low,inferior,inferior,inferior,better,better,Everything's Fine
Lower,"Yes, comparable",Lower,better,same,inferior,same,better,same,same,same,inferior,better,inferior,inferior,inferior,better,inferior,better,inferior,better,
Lower,"No, outside is better",Lower,better,better,better,inferior,better,better,inferior,inferior,better,better,same,better,better,better,better,better,better,better,intime should be increased for girls in the evening
Higher,"Yes, comparable",Lower,better,inferior ,inferior ,same,inferior ,better ,better ,better,better ,better,inferior,better ,better,better ,inferior ,inferior ,inferior ,better,water dispenser should be kept in every floor
Lower,"Yes, comparable",Same,inferior ,same,better,same,inferior,better,same,better,better,better,same,better,better,better,better,better,better,better,water problems
Same,"No, hostel is better",Lower,better,better,inferior ,inferior ,better ,bettter,better,inferior ,inferior ,inferior ,inferior ,better ,better,better ,inferior ,better,inferior ,bettet,Hostel timings: no restriction for entry
Lower,"No, hostel is better",Lower,better,better,better,better,better,better,same,inferior,better,inferior,same,same,inferior,better,better,better,same,better,"Limited permission and In,out time should be changed "
Lower,"No, hostel is better",Lower,better,better,same,better,same,better,better,better,better,better,better,inferior,better,better,better,better,better,better,food quality
Lower,"Yes, comparable",Lower,same,same,same,same,same,better,inferior,better,better,better,better,better,better,better,better,better,better,better,allowing students to choose room mates
Lower,"No, hostel is better",Lower,same,better,better,inferior,same,same,better,better,better,same,better,better,better,better,same,better,better,better,none
Higher,"Yes, comparable",Higher,better,same,inferior,same,better,same,inferior,same,better,inferior,better,same,inferior,same,better,same,inferior,same,room change for every semster can be given as choice
Same,"Yes, comparable",Same,better,same,same,inferior,better,better,same,same,better,better,same,better,better,better,better,better,same,better,Limites permission
Lower,"Yes, comparable",Lower,better,same,same,same,same,better,better,better,better,same,inferior,same,same,same,inferior,better,better,same,Limited permission
Lower,"Yes, comparable",Lower,better,same,same,same,better,better,better,inferior,better,inferior,inferior,inferior,better,better,same,better,better,same,wifi-rule
Same,"Yes, comparable",Same,better,same,same,same,better,better,same,better,better,same,same,same,better,better,same,better,same,better,cross mobilty across hostel used be incresed
Higher,"No, outside is better",Higher,better,same,same,better,better,better,same,same,better,better,better,same,better,better,same,better,better,better,Increase the permissions
Lower,"Yes, comparable",Lower,inferior,same,better,better,better,better,same,better,better,better,better,better,better,better,better,better,better,better,Increase permissions 
Higher,"Yes, comparable",Higher,better,better,inferior,inferior,better,inferior,same,same,same,same,same,same,inferior,better,inferior,better,better,better,Limiting permission
Lower,"Yes, comparable",Lower,same,better,inferior,better,better,better,better,same,better,inferior,inferior,same,better,same,better,same,same,inferior,improve mess menu
Lower,"Yes, comparable",Lower,better,same,same,better,same,same,inferior,same,same,same,same,same,same,same,same,same,same,same,wifi should be strengthened
Lower,"Yes, comparable",Lower,inferior,same,better,same,inferior,same,better,inferior,same,inferior,inferior,inferior,inferior,inferior,same,better,inferior,better,Limited permissions per semester
Higher,"Yes, comparable",Same,better,same,same,inferior,same,same,inferior,inferior,same,inferior,same,same,same,better,inferior,better,same,same,Limited permission per semester 
Lower,"Yes, comparable",Lower,better,same,inferior,inferior,same,same,inferior,same,same,inferior,same,inferior,inferior,same,inferior,same,inferior,same,"5 permission, allow sibling "
Lower,"No, hostel is better",Lower,better,same,same,inferior,better,better,same,same,inferior,same,inferior,same,same,better,better,better,better,better,"Extend in and out time, improve wifi, allow parents inside hostel "
Lower,"Yes, comparable",Same,better,better,same,better,same,better,better,same,same,better,same,better,inferior,same,same,same,better,better,Increase mess time 
Lower,"Yes, comparable",Lower,better,same,same,same,better,better,same,better,inferior,inferior,same,better,inferior,better,better,better,same,inferior,"More permission, food varieties "
Lower,"No, hostel is better",Lower,better,better,same,same,better,same,better,same,inferior,same,same,better,inferior,better,better,better,same,inferior,Improve wifi 
Same,"Yes, comparable",Same,better,same,same,same,better,better,better,inferior,inferior,inferior,same,same,inferior,better,same,better,same,inferior,Room allotment 
Lower,"Yes, comparable",Same,same,inferior,inferior,inferior,same,same,inferior,inferior,inferior,inferior,inferior,inferior,inferior,same,inferior,same,same,inferior,Limiting permission
Lower,"Yes, comparable",Lower,same,better,inferior,better,better,better,better,same,better,inferior,inferior,same,better,same,better,same,same,inferior,vistior timings should be increased
Lower,"Yes, comparable",Lower,better,same,same,better,same,same,inferior,same,same,same,same,same,same,same,same,same,same,same,no changes required
